"","Technology","usage"
"462","CHP",40
"463","Fuel_Cell",35
"464","Fuel_Cell",40
"465","Solar",605
"466","Solar",110
"467","Solar",47.5
"468","Solar",315
"469","Battery",240
"470","Battery",30
"471","Battery",20
"472","Battery",80
"473","CHP",77.5
"474","CHP",27.5
"475","CHP",6
"476","CHP",75
"477","Fuel_Cell",0
"478","Fuel_Cell",27.5
"479","Fuel_Cell",0
"480","Fuel_Cell",75
"481","Solar",95
"482","Solar",245
"483","Solar",57.5
"484","Solar",160
"485","Battery",27.5
"486","Battery",65
"487","Battery",25
"488","Battery",42.5
"489","CHP",25
"490","CHP",60
"491","CHP",7.5
"492","CHP",40
"493","Fuel_Cell",25
"494","Fuel_Cell",60
"495","Fuel_Cell",0
"496","Fuel_Cell",40
"497","Solar",220
"498","Solar",145
"499","Solar",57.5
"500","Solar",355
"501","Solar",365
"502","Battery",57.5
"503","Battery",40
"504","Battery",25
"505","Battery",87.5
"506","Battery",92.5
"507","CHP",55
"508","CHP",35
"509","CHP",7.5
"510","CHP",80
"511","CHP",80
"512","Fuel_Cell",55
"513","Fuel_Cell",35
"514","Fuel_Cell",0
"515","Fuel_Cell",80
"516","Fuel_Cell",80
"517","Solar",22.5
"518","Solar",40
"519","Solar",250
"520","Solar",175
"521","Solar",140
"522","Solar",150
"523","Battery",10.5
"524","Battery",17.5
"525","Battery",65
"526","Battery",47.5
"527","Battery",37.5
"528","Battery",42.5
"529","CHP",3
"530","CHP",5.5
"531","CHP",62.5
"532","CHP",42.5
"533","CHP",35
"534","CHP",37.5
"535","Fuel_Cell",0
"536","Fuel_Cell",0
"537","Fuel_Cell",62.5
"538","Fuel_Cell",42.5
"539","Fuel_Cell",35
"540","Fuel_Cell",37.5
"541","Solar",280
"542","Solar",155
"543","Solar",155
"544","Battery",72.5
"545","Battery",42.5
"546","Battery",42.5
"547","CHP",67.5
"548","CHP",40
"549","CHP",40
"550","Fuel_Cell",67.5
"551","Fuel_Cell",40
"552","Fuel_Cell",40
"553","Solar",230
"554","Solar",145
"555","Solar",15
"556","Battery",62.5
"557","Battery",40
"558","Battery",6
"559","CHP",55
"560","CHP",37.5
"561","CHP",2.5
"562","Fuel_Cell",55
"563","Fuel_Cell",37.5
"564","Fuel_Cell",0
"565","Solar",132.5
"566","Battery",35
"567","CHP",32.5
"568","Fuel_Cell",32.5
"569","Solar",140
"570","Battery",37.5
"571","CHP",35
"572","Fuel_Cell",35
"573","Solar",335
"574","Solar",170
"575","Battery",85
"576","Battery",47.5
"577","CHP",77.5
"578","CHP",42.5
"579","Fuel_Cell",77.5
"580","Fuel_Cell",42.5
"581","Solar",385
"582","Solar",335
"583","Solar",145
"584","Battery",95
"585","Battery",85
"586","Battery",40
"587","CHP",87.5
"588","CHP",77.5
"589","CHP",35
"590","Fuel_Cell",87.5
"591","Fuel_Cell",77.5
"592","Fuel_Cell",35
"593","Solar",140
"594","Battery",40
"595","CHP",35
"596","Fuel_Cell",35
"597","Solar",135
"598","Solar",465
"599","Battery",57.5
"600","Battery",117.5
"601","CHP",20
"602","CHP",102.5
"603","Fuel_Cell",0
"604","Fuel_Cell",102.5
"605","Solar",375
"606","Solar",22.5
"607","Battery",95
"608","Battery",10.5
"609","CHP",87.5
"610","CHP",3
"611","Fuel_Cell",87.5
"612","Fuel_Cell",0
"613","Solar",155
"614","Battery",42.5
"615","CHP",40
"616","Fuel_Cell",40
"617","Solar",125
"618","Solar",145
"619","Battery",35
"620","Battery",40
"621","CHP",32.5
"622","CHP",35
"623","Fuel_Cell",32.5
"624","Fuel_Cell",35
"625","Solar",20
"626","Battery",7
"627","CHP",2.5
"628","Fuel_Cell",0
"629","Solar",275
"630","Battery",72.5
"631","CHP",65
"632","Fuel_Cell",65
"633","Solar",160
"634","Battery",42.5
"635","CHP",40
"636","Fuel_Cell",40
"637","Solar",132.5
"638","Solar",550
"639","Battery",35
"640","Battery",140
"641","CHP",32.5
"642","CHP",125
"643","Fuel_Cell",32.5
"644","Fuel_Cell",125
"645","Solar",330
"646","Solar",160
"647","Solar",170
"648","Battery",80
"649","Battery",42.5
"650","Battery",47.5
"651","CHP",77.5
"652","CHP",40
"653","CHP",42.5
"654","Fuel_Cell",77.5
"655","Fuel_Cell",40
"656","Fuel_Cell",42.5
"657","Solar",215
"658","Solar",350
"659","Solar",155
"660","Battery",57.5
"661","Battery",87.5
"662","Battery",42.5
"663","CHP",50
"664","CHP",80
"665","CHP",40
"666","Fuel_Cell",50
"667","Fuel_Cell",80
"668","Fuel_Cell",40
"669","Solar",145
"670","Solar",30
"671","Battery",40
"672","Battery",11.5
"673","CHP",35
"674","CHP",4
"675","Fuel_Cell",35
"676","Fuel_Cell",0
"677","Solar",200
"678","Solar",770
"679","Battery",55
"680","Battery",190
"681","CHP",47.5
"682","CHP",175
"683","Fuel_Cell",47.5
"684","Fuel_Cell",0
"685","Solar",62.5
"686","Solar",70
"687","Solar",140
"688","Battery",17.5
"689","Battery",20
"690","Battery",40
"691","CHP",15
"692","CHP",20
"693","CHP",35
"694","Fuel_Cell",15
"695","Fuel_Cell",20
"696","Fuel_Cell",35
"697","Solar",132.5
"698","Solar",150
"699","Battery",35
"700","Battery",42.5
"701","CHP",32.5
"702","CHP",37.5
"703","Fuel_Cell",32.5
"704","Fuel_Cell",37.5
"705","Solar",305
"706","Battery",77.5
"707","CHP",72.5
"708","Fuel_Cell",72.5
"709","Solar",260
"710","Battery",70
"711","CHP",62.5
"712","Fuel_Cell",62.5
"713","Solar",170
"714","Battery",47.5
"715","CHP",42.5
"716","Fuel_Cell",42.5
"717","Solar",240
"718","Battery",62.5
"719","CHP",57.5
"720","Fuel_Cell",57.5
"721","Solar",132.5
"722","Battery",35
"723","CHP",32.5
"724","Fuel_Cell",32.5
"725","Solar",405
"726","Solar",175
"727","Solar",445
"728","Solar",320
"729","Battery",102.5
"730","Battery",47.5
"731","Battery",110
"732","Battery",80
"733","CHP",95
"734","CHP",42.5
"735","CHP",102.5
"736","CHP",77.5
"737","Fuel_Cell",95
"738","Fuel_Cell",42.5
"739","Fuel_Cell",102.5
"740","Fuel_Cell",77.5
"741","Solar",145
"742","Battery",40
"743","CHP",35
"744","Fuel_Cell",35
"745","Solar",260
"746","Solar",175
"747","Battery",70
"748","Battery",72.5
"749","CHP",62.5
"750","CHP",25
"751","Fuel_Cell",62.5
"752","Fuel_Cell",0
"753","Solar",190
"754","Solar",215
"755","Battery",50
"756","Battery",57.5
"757","CHP",47.5
"758","CHP",55
"759","Fuel_Cell",47.5
"760","Fuel_Cell",55
"761","Solar",475
"762","Solar",390
"763","Solar",132.5
"764","Solar",132.5
"765","Battery",117.5
"766","Battery",95
"767","Battery",35
"768","Battery",35
"769","CHP",110
"770","CHP",87.5
"771","CHP",32.5
"772","CHP",32.5
"773","Fuel_Cell",110
"774","Fuel_Cell",87.5
"775","Fuel_Cell",32.5
"776","Fuel_Cell",32.5
"777","Solar",132.5
"778","Solar",155
"779","Solar",315
"780","Solar",150
"781","Solar",145
"782","Battery",55
"783","Battery",42.5
"784","Battery",80
"785","Battery",42.5
"786","Battery",40
"787","CHP",20
"788","CHP",40
"789","CHP",75
"790","CHP",37.5
"791","CHP",35
"792","Fuel_Cell",0
"793","Fuel_Cell",40
"794","Fuel_Cell",75
"795","Fuel_Cell",37.5
"796","Fuel_Cell",35
"797","Solar",72.5
"798","Solar",40
"799","Solar",145
"800","Solar",40
"801","Solar",80
"802","Battery",20
"803","Battery",17.5
"804","Battery",40
"805","Battery",17.5
"806","Battery",22.5
"807","CHP",20
"808","CHP",5.5
"809","CHP",35
"810","CHP",5.5
"811","CHP",20
"812","Fuel_Cell",20
"813","Fuel_Cell",0
"814","Fuel_Cell",35
"815","Fuel_Cell",0
"816","Fuel_Cell",20
"817","Solar",390
"818","Solar",290
"819","Solar",35
"820","Solar",6
"821","Solar",360
"822","Battery",95
"823","Battery",77.5
"824","Battery",15
"825","Battery",2.5
"826","Battery",87.5
"827","CHP",87.5
"828","CHP",70
"829","CHP",4.5
"830","CHP",1
"831","CHP",80
"832","Fuel_Cell",87.5
"833","Fuel_Cell",70
"834","Fuel_Cell",0
"835","Fuel_Cell",0
"836","Fuel_Cell",80
"837","Solar",145
"838","Solar",150
"839","Solar",102.5
"840","Solar",125
"841","Battery",40
"842","Battery",42.5
"843","Battery",27.5
"844","Battery",35
"845","CHP",35
"846","CHP",37.5
"847","CHP",27.5
"848","CHP",30
"849","Fuel_Cell",35
"850","Fuel_Cell",37.5
"851","Fuel_Cell",27.5
"852","Fuel_Cell",30
"853","Solar",67.5
"854","Solar",535
"855","Battery",20
"856","Battery",132.5
"857","CHP",17.5
"858","CHP",125
"859","Fuel_Cell",17.5
"860","Fuel_Cell",0
"861","Solar",135
"862","Solar",150
"863","Battery",35
"864","Battery",42.5
"865","CHP",35
"866","CHP",37.5
"867","Fuel_Cell",35
"868","Fuel_Cell",37.5
"869","Solar",155
"870","Solar",135
"871","Solar",285
"872","Battery",42.5
"873","Battery",35
"874","Battery",75
"875","CHP",40
"876","CHP",35
"877","CHP",70
"878","Fuel_Cell",0
"879","Fuel_Cell",35
"880","Fuel_Cell",70
"881","Solar",125
"882","Solar",290
"883","Solar",47.5
"884","Solar",445
"885","Solar",150
"886","Battery",35
"887","Battery",77.5
"888","Battery",20
"889","Battery",110
"890","Battery",42.5
"891","CHP",32.5
"892","CHP",70
"893","CHP",6
"894","CHP",102.5
"895","CHP",37.5
"896","Fuel_Cell",32.5
"897","Fuel_Cell",70
