"","ID","State","Country","Address","IRR","Capex_Payback","Capex_Asset","Capex..Lifetime.Benefit","PPA.Savings...on.Rate","PPA","PPA..Lifetime.Benefit","usage","NPV_estimated_capex","NPV_estimated_PPA","X","X.1","X.2","synthetic_total","Type","weighted_sum"
"58","09539-LA - PASADENA","CA","US","1155 E COLORADO BLVD, PASADENA, CA, 91106",0.267,3.2,537300,"2876365.409","0.15","21756.23903","501672.8984",27.5,933484.1384,256522.5334,NA,NA,NA,411.25,"Battery",53.8933130699088
"59","09539-LA - PASADENA","CA","US","1155 E COLORADO BLVD, PASADENA, CA, 91106",0.267,3.2,537300,"2876365.409","0.15","21756.23903","501672.8984",25,933484.1384,256522.5334,NA,NA,NA,411.25,"CHP",163.313069908815
"60","09539-LA - PASADENA","CA","US","1155 E COLORADO BLVD, PASADENA, CA, 91106",0.267,3.2,537300,"2876365.409","0.15","21756.23903","501672.8984",25,933484.1384,256522.5334,NA,NA,NA,411.25,"Fuel_Cell",195.975683890577
"61","02040-ROCH - VICTOR","NY","US","8072 ROUTE 96, VICTOR, NY, 14564",0.26,3.3,86670,"444656.7938","0.15","3098.238008","70612.04303",27.5,140698.2465,36106.3558,NA,NA,NA,64.75,"Solar",36.8096525096525
"62","02040-ROCH - VICTOR","NY","US","8072 ROUTE 96, VICTOR, NY, 14564",0.26,3.3,86670,"444656.7938","0.15","3098.238008","70612.04303",11.5,140698.2465,36106.3558,NA,NA,NA,64.75,"Battery",23.0896911196911
"63","02040-ROCH - VICTOR","NY","US","8072 ROUTE 96, VICTOR, NY, 14564",0.26,3.3,86670,"444656.7938","0.15","3098.238008","70612.04303",4,140698.2465,36106.3558,NA,NA,NA,64.75,"CHP",26.7706563706564
"64","02040-ROCH - VICTOR","NY","US","8072 ROUTE 96, VICTOR, NY, 14564",0.26,3.3,86670,"444656.7938","0.15","3098.238008","70612.04303",0,140698.2465,36106.3558,NA,NA,NA,64.75,"Fuel_Cell",0
"65","09838-SAN LUIS OBISPO","CA","US","3880 BROAD ST, SAN LUIS OBISPO, CA, 93401",0.255,3.4,743850,"3784437.454","0.15","28857.74371","665448.7042",132.5,1191262.473,340266.7116,NA,NA,NA,570,"Solar",172.9125
"66","08840-STOCKTON","CA","US","628 W HAMMER LANE, STOCKTON, CA, 95210",0.255,3.4,761400,"3857598.986","0.15","30022.64824","692329.5111",140,1211122.47,354011.7888,NA,NA,NA,581.25,"Solar",183.390967741935
"67","01542-TRACY","CA","US","2940 W GRANT LINE RD, TRACY, CA, 95304",0.255,3.4,703350,"3568166.839","0.15","27777.61686","640842.1197",127.5,1121175.901,327684.5223,NA,NA,NA,537.5,"Solar",166.841162790698
"68","09838-SAN LUIS OBISPO","CA","US","3880 BROAD ST, SAN LUIS OBISPO, CA, 93401",0.255,3.4,743850,"3784437.454","0.15","28857.74371","665448.7042",35,1191262.473,340266.7116,NA,NA,NA,570,"Battery",68.5125
