"","Technology","weighted_sum"
"427","Fuel_Cell",275.81186440678
"428","Fuel_Cell",393.081081081081
"429","Solar",327.391304347826
"430","Solar",334.437844311377
"431","Battery",127.682608695652
"432","Battery",132.791497005988
"433","CHP",409.239130434783
"434","CHP",409.850299401198
"435","Fuel_Cell",491.086956521739
"436","Fuel_Cell",491.820359281437
"437","Solar",163.38785046729
"438","Battery",68.6228971962617
"439","CHP",212.404205607477
"440","Fuel_Cell",254.885046728972
"441","Solar",2.97692307692308
"442","Solar",176.360698689956
"443","Solar",262.054054054054
"444","Battery",2.67923076923077
"445","Battery",68.5847161572052
"446","Battery",108.097297297297
"447","CHP",5.95384615384615
"448","CHP",228.615720524017
"449","CHP",327.567567567568
"450","Fuel_Cell",0
"451","Fuel_Cell",274.338864628821
"452","Fuel_Cell",393.081081081081
"453","Solar",241.9303514377
"454","Battery",98.0798722044728
"455","CHP",310.586261980831
"456","Fuel_Cell",372.703514376997
"457","Solar",176.360698689956
"458","Solar",202.658823529412
"459","Battery",68.5847161572052
"460","Battery",83.3516129032258
"461","CHP",228.615720524017
"462","CHP",261.495256166983
"463","Fuel_Cell",274.338864628821
"464","Fuel_Cell",313.79430740038
"465","Solar",820.07134935305
"466","Solar",144.118032786885
"467","Solar",64.5425581395349
"468","Solar",413.775
"469","Battery",487.976340110906
"470","Battery",58.9573770491803
"471","Battery",40.7637209302326
"472","Battery",157.628571428571
"473","CHP",525.252310536044
"474","CHP",180.147540983607
"475","CHP",40.7637209302326
"476","CHP",492.589285714286
"477","Fuel_Cell",0
"478","Fuel_Cell",216.177049180328
"479","Fuel_Cell",0
"480","Fuel_Cell",591.107142857143
"481","Solar",124.117933130699
"482","Solar",321.347132169576
"483","Solar",77.9179245283019
"484","Solar",209.572881355932
"485","Battery",53.8933130699088
"486","Battery",127.883042394015
"487","Battery",50.8160377358491
"488","Battery",83.5016949152542
"489","CHP",163.313069908815
"490","CHP",393.486284289277
"491","CHP",50.8160377358491
"492","CHP",261.966101694915
"493","Fuel_Cell",195.975683890577
"494","Fuel_Cell",472.183541147132
"495","Fuel_Cell",0
"496","Fuel_Cell",314.359322033898
"497","Solar",288.118518518518
"498","Solar",190.441525423729
"499","Solar",77.9179245283019
"500","Solar",467.937419945105
"501","Solar",482.156097560976
"502","Battery",112.955555555556
"503","Battery",78.8033898305085
"504","Battery",50.8160377358491
"505","Battery",173.005032021958
"506","Battery",183.285365853659
"507","CHP",360.148148148148
"508","CHP",229.843220338983
"509","CHP",50.8160377358491
"510","CHP",527.253430924062
"511","CHP",528.390243902439
"512","Fuel_Cell",432.177777777778
"513","Fuel_Cell",275.81186440678
"514","Fuel_Cell",0
"515","Fuel_Cell",632.704117108875
"516","Fuel_Cell",634.068292682927
"517","Solar",30.4605633802817
"518","Solar",53.9136
"519","Solar",327.391304347826
"520","Solar",229.712784588441
"521","Solar",183.390967741935
"522","Solar",196.59880239521
"523","Battery",21.3223943661972
"524","Battery",35.3808
"525","Battery",127.682608695652
"526","Battery",93.5259194395797
"527","Battery",73.6838709677419
"528","Battery",83.5544910179641
"529","CHP",20.3070422535211
"530","CHP",37.0656
"531","CHP",409.239130434783
"532","CHP",278.936952714536
"533","CHP",229.238709677419
"534","CHP",245.748502994012
"535","Fuel_Cell",0
"536","Fuel_Cell",0
"537","Fuel_Cell",491.086956521739
"538","Fuel_Cell",334.724343257443
"539","Fuel_Cell",275.086451612903
"540","Fuel_Cell",294.898203592814
"541","Solar",367.558011049724
"542","Solar",202.658823529412
"543","Solar",202.658823529412
"544","Battery",142.756906077348
"545","Battery",83.3516129032258
"546","Battery",83.3516129032258
"547","CHP",443.038674033149
"548","CHP",261.495256166983
"549","CHP",261.495256166983
"550","Fuel_Cell",531.646408839779
"551","Fuel_Cell",313.79430740038
"552","Fuel_Cell",313.79430740038
"553","Solar",302.225572005384
"554","Solar",189.568421052632
"555","Solar",19.7506849315068
"556","Battery",123.189771197847
"557","Battery",78.4421052631579
"558","Battery",11.8504109589041
"559","CHP",361.35666218035
"560","CHP",245.131578947368
"561","CHP",16.458904109589
"562","Fuel_Cell",433.62799461642
"563","Fuel_Cell",294.157894736842
"564","Fuel_Cell",0
"565","Solar",173.764285714286
"566","Battery",68.85
"567","CHP",213.107142857143
"568","Fuel_Cell",255.728571428571
"569","Solar",183.390967741935
"570","Battery",73.6838709677419
"571","CHP",229.238709677419
"572","Fuel_Cell",275.086451612903
"573","Solar",440.900760456274
"574","Solar",222.780952380952
"575","Battery",167.805513307985
"576","Battery",93.3714285714286
"577","CHP",509.997148288973
"578","CHP",278.47619047619
"579","Fuel_Cell",611.996577946768
"580","Fuel_Cell",334.171428571429
"581","Solar",507.192281879195
"582","Solar",440.900760456274
"583","Solar",190.441525423729
"584","Battery",187.727013422819
"585","Battery",167.805513307985
"586","Battery",78.8033898305085
